country_date_id,majority,population
63912,NV,9.28
185447,V,82.80
1050,V,78.62
101175,NV,0.00
47190,V,76.07
31399,V,75.24
17735,V,81.33
195493,NV,0.00
186552,V,66.61
121153,NV,0.00
58487,NV,0.00
156049,NV,9.80
10478,NV,46.90
138924,NV,0.00
3300,NV,0.00
179621,NV,0.00
164240,NV,33.93
41913,V,51.99
49764,NV,0.00
123060,NV,0.00
156288,NV,27.77
185779,NV,0.00
28944,NV,0.00
59016,NV,0.00
185785,NV,0.00
118260,V,85.07
58036,NV,0.00
63577,NV,0.00
102051,NV,0.00
83868,V,80.64
21192,NV,0.00
53832,NV,0.00
21894,NV,49.41
195120,NV,40.92
107718,V,63.16
45229,NV,0.00
184118,NV,0.60
70722,NV,0.00
112089,V,62.40
30214,NV,0.00
189929,NV,0.00
165644,V,57.65
53206,NV,48.98
20521,NV,0.00
32584,V,68.54
152172,NV,0.00
189917,NV,0.00
2285,NV,0.00
103912,NV,0.00
81247,NV,0.41
172546,NV,0.10
128591,NV,0.64
68587,NV,0.00
148633,NV,37.61
109314,NV,0.00
86210,NV,0.00
84188,NV,0.00
173611,NV,0.00
110944,V,68.36
120758,NV,0.00
168675,V,74.50
167789,NV,28.47
107075,NV,0.00
172001,NV,16.17
125655,V,75.95
30524,NV,0.00
173980,NV,49.38
115608,NV,0.00
34544,V,73.49
91907,NV,39.55
121466,NV,34.81
111936,V,60.04
21571,NV,0.00
192361,NV,0.00
21015,NV,0.00
96929,NV,0.00
6096,V,99.63
126465,NV,0.99
194729,NV,2.52
193562,NV,0.80
62494,NV,5.94
16504,NV,18.77
2781,NV,2.83
66044,NV,33.42
134739,NV,0.27
77825,NV,0.00
139249,NV,43.81
50358,V,81.08
71418,NV,0.00
93552,NV,0.00
18164,NV,0.00
115577,NV,0.00
90972,NV,33.67
20482,NV,0.00
187250,NV,0.00
15675,V,67.84
9899,NV,0.00
80152,NV,0.00
31073,NV,0.01
84981,V,66.02
169172,NV,0.00
120227,V,62.09
35796,NV,19.16
109282,NV,0.00
69581,NV,0.00
174169,V,51.45
16130,NV,0.00
52159,NV,8.98
64870,V,67.38
119687,NV,0.00
35117,NV,0.00
108826,NV,5.85
186984,NV,0.00
44457,NV,0.00
149903,V,51.58
149408,NV,0.00
159438,V,70.15
149936,V,51.86
58215,NV,0.00
66522,NV,0.00
7457,NV,0.00
99369,V,74.82
81740,V,61.18
115264,NV,3.91
50826,NV,0.00
52995,NV,0.01
190403,NV,0.03
126995,NV,0.00
2520,NV,0.00
766,V,74.51
169196,NV,0.00
15682,V,67.84
94270,NV,14.98
29675,NV,0.00
183377,NV,21.43
78372,NV,47.02
67982,NV,3.00
45464,NV,0.00
13824,NV,0.00
6268,V,103.72
177321,NV,0.00
81575,NV,45.88
183908,NV,0.00
90786,NV,5.27
176523,NV,0.00
24457,NV,0.00
88444,NV,0.00
128994,NV,13.26
20952,V,56.70
187232,NV,0.00
21757,NV,16.01
35584,NV,0.97
103928,NV,0.00
161484,NV,47.71
86415,NV,0.00
27917,NV,0.00
81031,NV,0.00
4535,NV,0.00
14673,NV,6.86
98767,NV,0.00
145213,NV,0.00
27086,NV,23.39
77195,NV,1.66
66891,NV,1.21
60889,V,68.26
57116,NV,0.00
139578,NV,0.00
9837,NV,0.00
8969,NV,14.95
121347,NV,7.89
10179,NV,39.66
125129,NV,0.00
15242,NV,0.00
104852,V,67.18
122876,NV,0.00
10556,NV,46.94
115150,NV,2.59
138961,NV,0.00
57221,NV,3.51
3745,NV,14.05
41535,NV,12.28
193464,NV,0.26
139806,NV,0.00
165424,V,53.77
57009,NV,0.00
104884,V,67.20
25354,V,79.99
17418,NV,34.63
60892,V,68.29
152545,NV,0.00
33264,NV,10.57
26799,NV,0.00
12758,NV,0.00
108098,V,68.34
97854,NV,0.00
3326,NV,0.00
143386,V,81.75
49316,NV,42.01
20782,NV,19.54
195398,NV,0.00
161154,NV,41.33
170066,NV,0.00
59713,V,76.21
122508,NV,22.27
117489,NV,8.15
7303,V,83.07
176420,NV,0.00
107074,NV,0.00
178819,NV,0.07
143556,V,85.75
32858,NV,0.00
32174,NV,1.57
8966,NV,14.44
174128,V,51.45
47865,NV,1.83
31234,NV,13.00
120032,NV,0.00
105415,NV,0.00
97589,V,53.69
13227,NV,0.00
111571,NV,0.00
126575,NV,8.14
108523,NV,2.18
40123,V,69.97
34417,NV,0.00
72031,V,65.95
6901,NV,6.81
179008,NV,34.49
15573,NV,34.32
104395,NV,19.93
30974,NV,0.00
70550,V,73.56
139597,NV,0.00
165420,V,53.62
21381,NV,0.00
17065,NV,0.00
132615,NV,0.00
28507,V,86.15
92832,NV,0.10
132764,NV,2.26
2386,NV,0.00
194141,NV,0.00
78620,V,55.73
66532,NV,0.00
23620,NV,0.00
34183,NV,0.00
35182,NV,0.00
21806,NV,35.66
15808,V,70.90
25369,V,80.03
152536,NV,0.00
9290,V,76.31
11397,NV,0.06
103231,NV,0.00
181580,NV,0.00
165380,V,51.29
152670,NV,0.23
158012,V,50.35
133707,NV,0.00
149583,NV,22.52
152838,NV,2.63
133052,V,60.72
113435,NV,0.00
40198,V,70.32
175552,NV,0.00
83280,NV,0.00
114834,NV,0.00
87351,NV,0.00
15057,NV,0.00
110515,NV,0.00
111581,NV,0.00
10731,NV,0.00
177463,NV,0.00
108138,NV,0.00
105360,NV,0.00
39214,NV,0.00
22432,NV,0.00
168201,NV,0.00
18392,NV,0.00
9001,NV,32.76
19451,NV,0.00
172890,V,69.64
161216,NV,44.14
84287,NV,0.00
21100,V,66.82
173091,V,74.59
86619,V,59.99
28926,NV,0.00
26696,NV,0.00
