id,country,date
23651,BOL,20210120
58433,ETH,20210804
19944,BIH,20220518
40313,COM,20210326
42571,CRI,20210725
32274,CHE,20210524
32133,CHE,20210108
17422,BHR,20210427
36483,CMR,20210418
44472,CYP,20210114
3061,AGO,20220701
14447,BFA,20211030
52246,DZA,20211225
39186,COL,20200208
15360,BGD,20210627
26410,BRB,20220915
12548,BEL,20220601
62077,FRO,20200121
27699,BTN,20200616
27721,BTN,20200707
13625,BFA,20200123
7828,AUS,20210307
54148,EGY,20210525
50206,DNK,20220313
49638,DNK,20200902
24950,BRA,20210830
11871,BEL,20200808
38738,COG,20210904
35932,CIV,20220825
1551,AFG,20210422
38263,COG,20200604
49788,DNK,20210125
32401,CHE,20210923
10422,AZE,20220607
55886,ESP,20200611
29067,BWA,20210428
28013,BTN,20210416
61898,FRA,20220519
54390,EGY,20220116
23777,BOL,20210522
37012,CMR,20220913
34859,CHN,20220812
27010,BRN,20210620
18912,BHS,20220610
57866,ETH,20200201
16465,BGR,20210810
45029,FJI,20221102
15689,BGD,20220516
46187,CZE,20221009
39161,COG,20221017
10531,AZE,20220921
8421,AUS,20221002
49224,DMA,20220601
20021,BIH,20220730
5066,AND,20220306
41395,CPV,20210417
54202,EGY,20210716
6872,ARG,20210504
10992,BDI,20210213
57559,EST,20220123
56510,ESP,20220131
60227,FJI,20200917
19493,BIH,20210305
7960,AUT,20200107
40707,COM,20220424
54118,EGY,20210425
22081,BLZ,20220715
46550,DEU,20201121
1089,AFG,20200125
15397,BGD,20210801
3347,ALB,20200606
37637,COD,20210712
38347,COG,20200825
41996,CRI,20200110
37777,COD,20211125
49182,DMA,20220421
40843,COM,20220907
17556,BHR,20210904
41533,CPV,20210831
36844,CMR,20220402
16938,BHR,20200110
31504,CAN,20220305
36909,CMR,20220604
34950,CHN,20221111
49651,DNK,20200915
2962,AGO,20220326
35429,CIV,20210426
47102,DEU,20220516
25766,BRB,20201223
12633,BEL,20220822
58289,ETH,20210319
53582,ECU,20220901
43658,CUB,20210816
31005,CAN,20201105
53322,ECU,20211225
30662,CAF,20221021
27745,BTN,20200730
48776,DMA,20210322
2136,AGO,20200111
14628,BFA,20220424
59845,FIN,20220702
56406,ESP,20211023
38637,COG,20210603
36506,CMR,20210510
28624,BWA,20200218
28446,BTN,20220615
56785,ESP,20221027
43084,CUB,20200124
44269,CYP,20200630
31085,CAN,20210122
38643,COG,20210607
32109,CHE,20201215
36943,CMR,20220707
53370,ECU,20220209
25719,BRB,20201108
47877,DJI,20210828
5003,AND,20220105
38788,COG,20211021
44111,CUB,20221101
2091,AFG,20221002
53418,ECU,20220329
18740,BHS,20211223
12942,BEN,20200824
30666,CAF,20221025
45325,CZE,20200622
54981,ERI,20201108
16439,BGR,20210715
59837,FIN,20220624
