country_date_id,cases,death
76832,45098,1423
23860,480229,18109
101482,727930,9119
161245,1273103,12148
78636,1200742,16496
123582,210343,968
60373,56,2
178214,165908,3984
141524,6011984,116404
965,42020,224
131323,8437,236
138952,656056,12930
186427,53795186,823393
5626,146735,523
88416,268218,35477
166158,489471,9433
16703,1134906,36480
55295,6657,40
10420,792785,9713
141970,50678,1076
30850,97592,8305
125416,808658,5903
122827,48,2
180858,960,9
4323,39,0
59048,6868,304
32259,670613,10618
52992,258607,15013
65211,23585305,207539
9095,725243,13426
185049,52815,574
48817,174,0
179425,0,0
103740,502076,6430
127841,9031,310
26739,146,3
89354,364,7
182164,26196,725
61662,6857921,114620
175274,0,0
63335,6984,49
5158,43067,153
112059,1162374,16050
87239,15754,219
16573,679983,27658
102274,2099,85
99787,10,0
121871,4237,128
138708,78412,1897
164664,2580748,20236
159958,13459,689
105817,663632,16510
87640,839420,6406
87389,206263,1385
191501,4,1
114898,40780,793
58440,286286,4450
34229,92962,4634
9452,4961354,20648
106619,14395,403
133003,896584,11635
44622,74176,372
18895,34355,810
107751,489992,6937
43921,1102559,8525
163953,13492,55
137858,1244729,114721
77498,424447,10896
52453,266356,6875
156215,21544,153
48848,188,0
91793,552818,9816
42618,489784,5754
3052,99761,1900
113262,14174,61
170428,4589,164
10043,334132,4921
11626,50452,38
99065,176903,998
60863,64898,862
163767,485,1
24161,909372,21948
72946,276927,8549
73811,7281,121
11986,576599,16547
183969,1201894,21847
148943,3262909,66981
123517,102773,822
1152,91,2
62578,694,1
20545,291621,2011
149346,3127347,56271
5428,15738,157
115703,841661,85704
74432,58035,390
167065,4780,94
142794,17448,567
31482,3193438,35372
25662,181,7
150227,1473,4
12633,4471620,32463
78410,697952,12425
134511,33536,142
79583,30697,835
113042,4985,39
108058,1251410,9327
32545,2537734,12936
33022,341304,8914
22508,185,9
131498,32352,306
20659,412353,3072
60423,67,2
171098,1,0
83254,74900,2102
2117,202608,7820
8683,23757,884
43423,11601,143
15193,527063,7883
9268,3140407,18300
4365,738,40
71661,18,0
1723,155309,7214
186310,40084764,645470
30577,14712,113
12595,4349050,32051
173789,17484,125
146760,366343,677
63163,0,0
9855,121176,1392
14770,21128,387
129427,4790,164
159201,12884,109
114932,42161,905
101521,971774,9711
66536,43505,261
53293,526800,33234
67388,0,0
1465,54854,2389
16815,1194883,37329
52350,265699,6874
35452,46661,298
130247,42984,5456
188940,57,4
1900,177321,7657
47124,26498361,139388
136031,1258015,28106
11031,2657,6
62262,191,0
163535,80864,1369
84222,425481,24478
81313,1734285,47823
80638,1903200,46266
182173,26227,727
9484,5144116,20754
183615,0,0
160457,27020,1361
105841,663862,16518
42756,643496,7451
16748,1161038,37035
105741,644060,16166
55062,1970,7
32136,484506,8587
180225,14907378,98197
116909,9270,367
54825,39,0
187010,50992,427
138145,2231175,201026
71842,31,0
136145,1425039,29269
20722,470635,3691
52222,210921,6083
160156,21998,1208
156061,4203,50
184613,5560188,117475
107148,1235,29
182732,1072,0
45776,1680354,30406
153196,0,0
37323,10292,260
24249,1096844,22183
102135,1676,83
41475,32788,289
165339,269248,4453
151509,376377,6480
26775,148,3
181572,14,0
161533,2347506,16940
44945,470481,1011
42391,194569,2634
109334,1127,30
83963,1675723,8100
45763,1677512,30385
26304,81174,462
11033,2657,6
149700,9752340,280427
60527,6161,30
39613,2353210,62394
73818,7344,122
148547,1103198,34650
73034,505640,12606
115835,2041380,180107
45038,556048,1099
70276,1632641,21809
104740,17103,85
99606,653730,2559
63056,34658,28
165514,875747,6184
138836,425918,8255
135859,804939,17329
124268,33891,1134
100860,721,24
185569,967808,7387
165204,236613,4203
113827,240886,5369
159394,20113,118
120034,3000,2
6254,974802,2325
181655,509,21
65907,703281,9873
124841,88065,2683
69410,12311,371
48111,15593,189
41358,15932,155
5283,46227,155
70514,4804982,32757
189090,1296,19
10577,823496,9955
19403,98603,3199
35123,10244,70
45721,1669745,30333
19912,376437,15749
117809,8137,98
10568,823100,9942
150977,131944,1466
41190,6024,60
88300,217185,30201
152574,30989,1986
148922,3228364,66779
123131,556,10
31438,2223735,30320
22359,140,9
104145,114,1
86640,7428,30
155362,0,0
8480,0,0
45097,582381,1178
152629,34889,2446
138257,3538453,211661
126286,26682,240
55497,9728,103
185259,387156,6045
130643,1647418,17615
83709,1303720,6508
68544,17,1
3378,2964,79
68181,36459,440
157781,55195,1632
92604,107930,1109
90170,142912,3130
75618,92,2
117099,15060,545
91125,1695970,14066
1119,5,0
149864,18022001,370642
130543,1064598,15249
75338,63235,1226
133226,997122,12000
137425,986866,8497
81568,4277644,144199
62094,0,0
63511,9694,66
168093,114,0
55719,10189,103
164237,775405,12519
50349,3229666,6639
108900,194846,1007
119017,142610,3206
95731,240,0
95332,200968,2991
90892,812681,10606
125951,0,0
154970,278044,825
177891,40361,1139
46219,4163425,41682
96288,121188,3015
193385,1011871,27071
118900,117946,2484
121932,6993,158
4975,19272,133
7670,27173,895
123245,1246,17
107995,0,0
121258,140071,1748
65839,514744,6771
107006,34287,704
31293,0,0
84799,7202055,140744
8684,24009,886
120854,1582,11
59443,94094,980
77005,136068,3391
182787,4703,52
30856,0,0
103867,507034,6437
16242,202880,7644
148263,440344,10541
119050,143131,3213
68478,0,0
41729,55903,401
156314,21544,153
54172,275601,15760
12909,1694,34
125842,4771512,36191
181540,0,0
90843,771753,10048
67168,161170,1445
162127,10770,115
140429,44394,651
15561,1601305,28111
121565,226428,2206
93167,1370466,18693
15539,1581634,28051
165954,62728,5209
127352,4489,159
127140,1093,68
170078,33,0
60965,68153,878
60434,67,2
29477,308126,2697
11202,12585,38
168899,47141,169
31298,1460340,26705
56204,3347512,76328
137400,981822,8480
40327,3758,146
119385,612132,19434
48471,16,0
92494,2289,19
184993,17306,160
81004,75699,3606
140673,11,0
27742,99,0
134255,1642334,1603
139205,2826853,47288
42649,0,0
56071,1684647,46252
110637,48,0
26240,59938,375
141134,2873527,73984
133961,5153,30
9975,252680,3445
172430,4281,60
12659,4511590,32625
163853,1665,28
189543,7612,88
99974,23,0
13689,27316,163
124511,61997,2307
92540,12511,54
91140,1696668,14066
36500,72250,1107
24709,8029698,201760
31326,1556081,27239
17786,563183,1474
69211,11911,365
80762,2058847,47367
77918,10269,186
22672,1028,12
187807,0,0
9058,667207,13180
68672,3197,99
11976,553680,15352
51482,645952,4384
193231,482169,7812
79525,30353,820
67511,4216,23
61042,11,0
17217,74860,271
84834,7229074,141244
99399,451430,2474
48476,18,0
34254,93594,4634
29233,180438,2376
25052,22153095,616032
70263,1240862,20849
79721,33702,857
9546,0,0
168485,19530,98
128186,23298,554
150695,98987,1313
39943,5855858,133832
14646,20899,384
123220,1198,15
3383,3371,89
7155,8555379,122439
162303,12804,133
122829,94,2
142912,52351,1746
100628,210375,757
172445,6884,61
185729,14,0
171643,23618,205
171295,1784,48
117227,29597,704
97253,2,0
58640,468284,7438
23987,554999,19330
75185,35548,913
33506,1699427,37790
77501,424771,10896
44434,12867,63
133969,5822,30
111851,821129,11994
77486,423775,10895
158143,123577,3840
70781,161,1
112607,355,2
180801,822,7
69556,73,0
7268,9178795,128825
10265,618918,8409
190455,51002,225
179430,0,0
125745,4494782,35647
100551,205975,732
27870,396,0
115350,66788,1411
63349,7787,51
4074,275615,3497
67645,11478,70
179479,18135,356
63378,8538,53
185480,895775,7197
105031,146,3
55427,9250,91
11896,85911,9898
50317,3171766,6469
179626,258249,6121
141486,6003531,116207
15641,1951577,29122
4324,39,0
79654,31908,837
26531,1,0
141947,35807,850
93136,1083988,18284
157172,7681,125
1994,182403,7722
171504,12827,122
6209,910935,2305
63668,24736,156
186546,81117260,993951
119930,557,0
9789,40023,586
194475,66598,914
2385,3279,131
13382,24749,161
158042,110188,3460
19627,205238,9664
195431,8696,255
179376,1145930,29254
186218,33492764,593770
85168,13481,370
166108,208295,6406
20752,520286,4028
172918,3925854,26289
154,101,3
128070,1,0
3046,99761,1900
142973,79885,2018
130707,1869909,17829
42129,930,10
108827,105358,917
166946,175,2
108574,66594,791
126536,125966,3422
17333,103057,375
8861,415900,9642
158380,201785,4228
139504,3909772,62382
12645,4488054,32534
13908,814,52
76263,12378,213
46935,5977208,102178
9002,645587,13064
61217,215135,30150
17014,458,4
51640,6442,529
114693,17111,244
166525,1416650,15377
189339,3442,27
85270,307385,8332
