country_date_id,E1_Income support,E1_Flag,E2_Debt/contract relief,E3_Fiscal measures,E4_International support
131360,2,0,0,0.00,0.00
131051,2,1,,,
74654,0,,1,0.00,0.00
91033,1,1,0,,
108106,0,,0,0.00,0.00
79922,2,0,2,0.00,0.00
144806,0,,0,,
12954,2,0,1,0.00,0.00
140635,0,,0,0.00,0.00
143856,1,1,2,0.00,0.00
152565,1,1,0,0.00,0.00
56546,2,0,2,,
29719,1,1,0,0.00,0.00
99273,1,0,1,,
5444,0,,2,0.00,0.00
123684,0,,0,,
45602,1,0,1,0.00,0.00
153061,0,,0,,
55538,0,,0,,
104320,0,,0,,
2972,0,,0,,
27484,0,,0,,
785,1,1,0,,
124155,1,0,0,0.00,0.00
98457,1,1,1,,
132337,1,1,2,0.00,0.00
85242,1,1,1,0.00,0.00
145055,0,,2,0.00,0.00
5967,0,,0,,
151803,0,,0,,
122174,1,1,0,0.00,0.00
131415,2,0,0,0.00,0.00
86773,2,1,2,,
27224,0,,0,,
107847,2,1,2,,
151656,2,0,1,0.00,0.00
80656,2,0,2,,
151198,2,0,1,0.00,0.00
141314,2,1,2,,
129165,0,,0,0.00,0.00
85425,1,1,1,0.00,0.00
90327,0,,0,0.00,0.00
104941,0,,0,0.00,0.00
2987,1,1,0,,
114463,0,,0,0.00,0.00
122253,0,,0,0.00,0.00
111927,1,1,0,,
4124,0,,0,,
76383,1,1,2,,
64305,2,1,2,0.00,0.00
150886,0,,0,,
18720,0,,0,,
132168,2,0,0,,
138658,0,,0,0.00,0.00
98864,1,0,1,0.00,0.00
74196,0,,0,,
44067,2,1,0,,
36047,0,,0,0.00,0.00
18209,1,1,0,0.00,0.00
127433,0,,2,0.00,0.00
1304,0,,0,0.00,0.00
58926,0,,0,0.00,0.00
9888,1,0,0,0.00,0.00
57708,2,1,1,,
3733,1,1,1,0.00,0.00
94583,0,,1,0.00,0.00
54940,0,,1,0.00,0.00
124904,0,,0,0.00,0.00
65505,1,0,1,0.00,0.00
44654,2,1,2,0.00,0.00
142436,0,,0,,
39199,0,,0,0.00,0.00
28345,1,1,2,,
103560,0,,0,,
112590,2,1,0,0.00,0.00
44874,2,1,2,,
120305,0,,2,,
146805,0,,0,,
90050,0,,0,,
7593,1,1,2,0.00,0.00
3773,1,1,1,0.00,0.00
126275,0,,0,0.00,0.00
93063,0,,0,,
72965,0,,2,0.00,0.00
2146,0,,0,0.00,0.00
129113,0,,0,0.00,0.00
129511,0,,0,0.00,0.00
99617,1,0,1,,
148762,2,0,1,,
125348,1,1,2,0.00,0.00
94683,1,1,1,0.00,0.00
111522,1,1,2,0.00,0.00
27818,0,,2,0.00,0.00
24121,0,,0,0.00,0.00
21704,1,1,2,0.00,0.00
16985,0,,1,0.00,0.00
11890,2,0,1,0.00,0.00
128334,0,,0,0.00,0.00
132636,1,1,1,0.00,0.00
32547,2,1,0,,
43243,0,,2,0.00,0.00
140378,1,1,2,,
52759,1,1,2,0.00,0.00
14067,0,,0,0.00,0.00
133666,1,1,2,0.00,0.00
104743,2,1,0,,
59829,1,1,1,,
104092,0,,0,,
69886,2,0,2,0.00,0.00
71838,2,0,0,0.00,0.00
12596,0,,0,,
58575,0,,0,,
62324,1,1,2,0.00,0.00
82409,0,,1,0.00,0.00
31550,1,0,1,,
16354,2,0,1,0.00,0.00
142856,1,1,2,0.00,0.00
